PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38175665","OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization","Reich C, Ostropolets A, Ryan P, Rijnbeek P, Schuemie M, Davydov A, Dymshyts D, Hripcsak G.","J Am Med Inform Assoc. 2024 Feb 16;31(3):583-590. doi: 10.1093/jamia/ocad247.","Reich C","J Am Med Inform Assoc","2024","2024/01/04","PMC10873827","","10.1093/jamia/ocad247"
"39976940","Semaglutide and Nonarteritic Anterior Ischemic Optic Neuropathy","Cai CX, Hribar M, Baxter S, Goetz K, Swaminathan SS, Flowers A, Brown EN, Toy B, Xu B, Chen J, Chen A, Wang S, Lee C, Leng T, Ehrlich JR, Barkmeier A, Armbrust KR, Boland MV, Dorr D, Boyce D, Alshammari T, Swerdel J, Suchard MA, Schuemie M, Bu F, Sena AG, Hripcsak G, Nishimura A, Nagy P, Falconer T, DuVall SL, Matheny M, Viernes B, O'Brien W, Zhang L, Martin B, Westlund E, Mathioudakis N, Fan R, Wilcox A, Lai A, Stocking JC, Takkouche S, Lee LH, Xie Y, Humes I, McCoy DB, Adibuzzaman M, Areaux RG Jr, Rojas-Carabali W, Brash J, Lee DA, Weiskopf NG, Mawn L, Agrawal R, Morgan-Cooper H, Desai P, Ryan PB.","JAMA Ophthalmol. 2025 Apr 1;143(4):304-314. doi: 10.1001/jamaophthalmol.2024.6555.","Cai CX","JAMA Ophthalmol","2025","2025/02/20","PMC11843465","","10.1001/jamaophthalmol.2024.6555"
"41192935","Semaglutide and diabetic retinopathy: an OHDSI network study","Cai CX, Nishimura A, Baxter S, Goetz K, Hribar M, Toy B, Barkmeier A, Wang S, Swaminathan S, Flowers A, Brown E, Xu B, Chen J, Chen A, Leng T, Boland M, Alshammari T, Bu F, Falconer T, Martin B, Westlund E, Mathioudakis N, Zhang L, Fan R, Wilcox A, Lai A, Stocking JC, Xie Y, Lee LH, Dorr D, Humes I, McCoy D, Adibuzzaman M, Areaux R Jr, Brash J, Weiskopf N, Morgan-Cooper H, Desai P, Tran D, Rustam Z, Zhu G, Swerdel J, Sena A, Nagy P, Suchard M, Schuemie M, Hripcsak G, Ryan P.","BMJ Open Diabetes Res Care. 2025 Nov 4;13(6):e005424. doi: 10.1136/bmjdrc-2025-005424.","Cai CX","BMJ Open Diabetes Res Care","2025","2025/11/05","PMC12587949","","10.1136/bmjdrc-2025-005424"
"38818399","OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation","Wirth FN, Abu Attieh H, Prasser F.","Front Med (Lausanne). 2024 May 16;11:1378866. doi: 10.3389/fmed.2024.1378866. eCollection 2024.","Wirth FN","Front Med (Lausanne)","2024","2024/05/31","PMC11137233","","10.3389/fmed.2024.1378866"
"27274072","Characterizing treatment pathways at scale using the OHDSI network","Hripcsak G, Ryan PB, Duke JD, Shah NH, Park RW, Huser V, Suchard MA, Schuemie MJ, DeFalco FJ, Perotte A, Banda JM, Reich CG, Schilling LM, Matheny ME, Meeker D, Pratt N, Madigan D.","Proc Natl Acad Sci U S A. 2016 Jul 5;113(27):7329-36. doi: 10.1073/pnas.1510502113. Epub 2016 Jun 6.","Hripcsak G","Proc Natl Acad Sci U S A","2016","2016/06/09","PMC4941483","","10.1073/pnas.1510502113"
"38347885","INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools","Bhattacharjee T, Kiwuwa-Muyingo S, Kanjala C, Maoyi ML, Amadi D, Ochola M, Kadengye D, Gregory A, Kiragga A, Taylor A, Greenfield J, Slaymaker E, Todd J; INSPIRE Network.","Front Digit Health. 2024 Jan 29;6:1329630. doi: 10.3389/fdgth.2024.1329630. eCollection 2024.","Bhattacharjee T","Front Digit Health","2024","2024/02/13","PMC10859396","","10.3389/fdgth.2024.1329630"
"33882595","Drawing Reproducible Conclusions from Observational Clinical Data with OHDSI","Hripcsak G, Schuemie MJ, Madigan D, Ryan PB, Suchard MA.","Yearb Med Inform. 2021 Aug;30(1):283-289. doi: 10.1055/s-0041-1726481. Epub 2021 Apr 21.","Hripcsak G","Yearb Med Inform","2021","2021/04/21","PMC8416226","","10.1055/s-0041-1726481"
"30738946","ADEpedia-on-OHDSI: A next generation pharmacovigilance signal detection platform using the OHDSI common data model","Yu Y, Ruddy KJ, Hong N, Tsuji S, Wen A, Shah ND, Jiang G.","J Biomed Inform. 2019 Mar;91:103119. doi: 10.1016/j.jbi.2019.103119. Epub 2019 Feb 7.","Yu Y","J Biomed Inform","2019","2019/02/11","PMC6432939","NIHMS1521934","10.1016/j.jbi.2019.103119"
"36935011","Representing and utilizing clinical textual data for real world studies: An OHDSI approach","Keloth VK, Banda JM, Gurley M, Heider PM, Kennedy G, Liu H, Liu F, Miller T, Natarajan K, V Patterson O, Peng Y, Raja K, Reeves RM, Rouhizadeh M, Shi J, Wang X, Wang Y, Wei WQ, Williams AE, Zhang R, Belenkaya R, Reich C, Blacketer C, Ryan P, Hripcsak G, Elhadad N, Xu H.","J Biomed Inform. 2023 Jun;142:104343. doi: 10.1016/j.jbi.2023.104343. Epub 2023 Mar 17.","Keloth VK","J Biomed Inform","2023","2023/03/19","PMC10428170","NIHMS1897646","10.1016/j.jbi.2023.104343"
"38105303","Implementation of inclusion and exclusion criteria in clinical studies in OHDSI ATLAS software","Blasini R, Buchowicz KM, Schneider H, Samans B, Sohrabi K.","Sci Rep. 2023 Dec 18;13(1):22457. doi: 10.1038/s41598-023-49560-w.","Blasini R","Sci Rep","2023","2023/12/17","PMC10725886","","10.1038/s41598-023-49560-w"
"37361151","Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model","Kiwuwa-Muyingo S, Todd J, Bhattacharjee T, Taylor A, Greenfield J.","Front Public Health. 2023 Jun 9;11:1116682. doi: 10.3389/fpubh.2023.1116682. eCollection 2023.","Kiwuwa-Muyingo S","Front Public Health","2023","2023/06/26","PMC10287979","","10.3389/fpubh.2023.1116682"
"38412331","Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network","Naderalvojoud B, Curtin CM, Yanover C, El-Hay T, Choi B, Park RW, Tabuenca JG, Reeve MP, Falconer T, Humphreys K, Asch SM, Hernandez-Boussard T.","J Am Med Inform Assoc. 2024 Apr 19;31(5):1051-1061. doi: 10.1093/jamia/ocae028.","Naderalvojoud B","J Am Med Inform Assoc","2024","2024/02/27","PMC11031239","","10.1093/jamia/ocae028"
"30526572","Preliminary exploration of survival analysis using the OHDSI common data model: a case study of intrahepatic cholangiocarcinoma","Hong N, Zhang N, Wu H, Lu S, Yu Y, Hou L, Lu Y, Liu H, Jiang G.","BMC Med Inform Decis Mak. 2018 Dec 7;18(Suppl 5):116. doi: 10.1186/s12911-018-0686-7.","Hong N","BMC Med Inform Decis Mak","2018","2018/12/12","PMC6284277","","10.1186/s12911-018-0686-7"
"36406796","Evaluating a novel approach to stimulate open science collaborations: a case series of ""study-a-thon"" events within the OHDSI and European IMI communities","Hughes N, Rijnbeek PR, van Bochove K, Duarte-Salles T, Steinbeisser C, Vizcaya D, Prieto-Alhambra D, Ryan P.","JAMIA Open. 2022 Nov 17;5(4):ooac100. doi: 10.1093/jamiaopen/ooac100. eCollection 2022 Dec.","Hughes N","JAMIA Open","2022","2022/11/21","PMC9670330","","10.1093/jamiaopen/ooac100"
"30306935","Biomedical Informatics Investigator","Elkin PL, Mullin S, Sakilay S.","Stud Health Technol Inform. 2018;255:195-199.","Elkin PL","Stud Health Technol Inform","2018","2018/10/12","PMC7847179","NIHMS1655784",""
"26262116","Observational Health Data Sciences and Informatics (OHDSI): Opportunities for Observational Researchers","Hripcsak G, Duke JD, Shah NH, Reich CG, Huser V, Schuemie MJ, Suchard MA, Park RW, Wong IC, Rijnbeek PR, van der Lei J, Pratt N, Norén GN, Li YC, Stang PE, Madigan D, Ryan PB.","Stud Health Technol Inform. 2015;216:574-8.","Hripcsak G","Stud Health Technol Inform","2015","2015/08/12","PMC4815923","NIHMS771006",""
"32477694","Integrating Electronic Health Record Data into the ADEpedia-on-OHDSI Platform for Improved Signal Detection: A Case Study of Immune-related Adverse Events","Yu Y, Ruddy KJ, Wen A, Zong N, Tsuji S, Chen J, Shah ND, Jiang G.","AMIA Jt Summits Transl Sci Proc. 2020 May 30;2020:710-719. eCollection 2020.","Yu Y","AMIA Jt Summits Transl Sci Proc","2020","2020/06/02","PMC7233056","",""
"29295408","Building Interoperable FHIR-Based Vocabulary Mapping Services: A Case Study of OHDSI Vocabularies and Mappings","Jiang G, Kiefer R, Prud'hommeaux E, Solbrig HR.","Stud Health Technol Inform. 2017;245:1327.","Jiang G","Stud Health Technol Inform","2017","2018/01/04","PMC5939959","NIHMS961862",""
"28815104","Electronic phenotyping with APHRODITE and the Observational Health Sciences and Informatics (OHDSI) data network","Banda JM, Halpern Y, Sontag D, Shah NH.","AMIA Jt Summits Transl Sci Proc. 2017 Jul 26;2017:48-57. eCollection 2017.","Banda JM","AMIA Jt Summits Transl Sci Proc","2017","2017/08/18","PMC5543379","",""
"40506029","Secondary Cancer Risk in Breast Cancer with and without Radiotherapy: The Observational Health Data Sciences and Informatics (OHDSI) Cohort Study","Kim S, Boo D, Yoo S, Kim B, Kim K, Kim K, Song E, Kim J, Ryoo HG, Paeng JC, Choi IY, Ko S, Yoo IR, Park RW, Lee HY.","Cancer Res Treat. 2025 Jun 5. doi: 10.4143/crt.2024.968. Online ahead of print.","Kim S","Cancer Res Treat","2025","2025/06/12","","","10.4143/crt.2024.968"
"39753061","ATC-to-RxNorm mappings - A comparison between OHDSI Standardized Vocabularies and UMLS Metathesaurus","de Groot R, Glaser S, Kogan A, Medlock S, Alloni A, Gabetta M, Wilk S, de Keizer N, Cornet R.","Int J Med Inform. 2025 Mar;195:105777. doi: 10.1016/j.ijmedinf.2024.105777. Epub 2024 Dec 31.","de Groot R","Int J Med Inform","2025","2025/01/03","","","10.1016/j.ijmedinf.2024.105777"
"29295227","A Consensus-Based Approach for Harmonizing the OHDSI Common Data Model with HL7 FHIR","Jiang G, Kiefer RC, Sharma DK, Prud'hommeaux E, Solbrig HR.","Stud Health Technol Inform. 2017;245:887-891.","Jiang G","Stud Health Technol Inform","2017","2018/01/04","PMC5939955","NIHMS961581",""
"32229499","Extending an open-source tool to measure data quality: case report on Observational Health Data Science and Informatics (OHDSI)","Dixon BE, Wen C, French T, Williams JL, Duke JD, Grannis SJ.","BMJ Health Care Inform. 2020 Mar;27(1):e100054. doi: 10.1136/bmjhci-2019-100054.","Dixon BE","BMJ Health Care Inform","2020","2020/04/02","PMC7254131","NIHMS1590928","10.1136/bmjhci-2019-100054"
"33936474","Characterizing database granularity using SNOMED-CT hierarchy","Ostropolets A, Reich C, Ryan P, Weng C, Molinaro A, DeFalco F, Jonnagaddala J, Liaw ST, Jeon H, Park RW, Spotnitz ME, Natarajan K, Argyriou G, Kostka K, Miller R, Williams A, Minty E, Posada J, Hripcsak G.","AMIA Annu Symp Proc. 2021 Jan 25;2020:983-992. eCollection 2020.","Ostropolets A","AMIA Annu Symp Proc","2021","2021/05/03","PMC8075504","",""
"31910437","Development and validation of a prognostic model predicting symptomatic hemorrhagic transformation in acute ischemic stroke at scale in the OHDSI network","Wang Q, Reps JM, Kostka KF, Ryan PB, Zou Y, Voss EA, Rijnbeek PR, Chen R, Rao GA, Morgan Stewart H, Williams AE, Williams RD, Van Zandt M, Falconer T, Fernandez-Chas M, Vashisht R, Pfohl SR, Shah NH, Kasthurirathne SN, You SC, Jiang Q, Reich C, Zhou Y.","PLoS One. 2020 Jan 7;15(1):e0226718. doi: 10.1371/journal.pone.0226718. eCollection 2020.","Wang Q","PLoS One","2020","2020/01/08","PMC6946584","","10.1371/journal.pone.0226718"
