PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37361151","Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model","Kiwuwa-Muyingo S, Todd J, Bhattacharjee T, Taylor A, Greenfield J.","Front Public Health. 2023 Jun 9;11:1116682. doi: 10.3389/fpubh.2023.1116682. eCollection 2023.","Kiwuwa-Muyingo S","Front Public Health","2023","2023/06/26","PMC10287979","","10.3389/fpubh.2023.1116682"
"30306935","Biomedical Informatics Investigator","Elkin PL, Mullin S, Sakilay S.","Stud Health Technol Inform. 2018;255:195-199.","Elkin PL","Stud Health Technol Inform","2018","2018/10/12","PMC7847179","NIHMS1655784",""
"38175665","OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization","Reich C, Ostropolets A, Ryan P, Rijnbeek P, Schuemie M, Davydov A, Dymshyts D, Hripcsak G.","J Am Med Inform Assoc. 2024 Feb 16;31(3):583-590. doi: 10.1093/jamia/ocad247.","Reich C","J Am Med Inform Assoc","2024","2024/01/04","PMC10873827","","10.1093/jamia/ocad247"
"29365340","Towards Implementation of OMOP in a German University Hospital Consortium","Maier C, Lang L, Storf H, Vormstein P, Bieber R, Bernarding J, Herrmann T, Haverkamp C, Horki P, Laufer J, Berger F, Höning G, Fritsch HW, Schüttler J, Ganslandt T, Prokosch HU, Sedlmayr M.","Appl Clin Inform. 2018 Jan;9(1):54-61. doi: 10.1055/s-0037-1617452. Epub 2018 Jan 24.","Maier C","Appl Clin Inform","2018","2018/01/25","PMC5801887","","10.1055/s-0037-1617452"
"38347885","INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools","Bhattacharjee T, Kiwuwa-Muyingo S, Kanjala C, Maoyi ML, Amadi D, Ochola M, Kadengye D, Gregory A, Kiragga A, Taylor A, Greenfield J, Slaymaker E, Todd J; INSPIRE Network.","Front Digit Health. 2024 Jan 29;6:1329630. doi: 10.3389/fdgth.2024.1329630. eCollection 2024.","Bhattacharjee T","Front Digit Health","2024","2024/02/13","PMC10859396","","10.3389/fdgth.2024.1329630"
"38408983","Conceptual design of a generic data harmonization process for OMOP common data model","Henke E, Zoch M, Peng Y, Reinecke I, Sedlmayr M, Bathelt F.","BMC Med Inform Decis Mak. 2024 Feb 26;24(1):58. doi: 10.1186/s12911-024-02458-7.","Henke E","BMC Med Inform Decis Mak","2024","2024/02/26","PMC10895818","","10.1186/s12911-024-02458-7"
"36233137","OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review","Ahmadi N, Peng Y, Wolfien M, Zoch M, Sedlmayr M.","Int J Mol Sci. 2022 Oct 5;23(19):11834. doi: 10.3390/ijms231911834.","Ahmadi N","Int J Mol Sci","2022","2022/10/14","PMC9569469","","10.3390/ijms231911834"
"38818399","OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation","Wirth FN, Abu Attieh H, Prasser F.","Front Med (Lausanne). 2024 May 16;11:1378866. doi: 10.3389/fmed.2024.1378866. eCollection 2024.","Wirth FN","Front Med (Lausanne)","2024","2024/05/31","PMC11137233","","10.3389/fmed.2024.1378866"
"38046363","Conversion of CPRD AURUM Data into the OMOP Common Data Model","Mayer CS.","Inform Med Unlocked. 2023;43:101407. doi: 10.1016/j.imu.2023.101407. Epub 2023 Nov 10.","Mayer CS","Inform Med Unlocked","2023","2023/12/04","PMC10688258","NIHMS1945870","10.1016/j.imu.2023.101407"
"36395615","An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM","Peng Y, Henke E, Reinecke I, Zoch M, Sedlmayr M, Bathelt F.","Int J Med Inform. 2023 Jan;169:104925. doi: 10.1016/j.ijmedinf.2022.104925. Epub 2022 Nov 10.","Peng Y","Int J Med Inform","2023","2022/11/17","","","10.1016/j.ijmedinf.2022.104925"
"36935011","Representing and utilizing clinical textual data for real world studies: An OHDSI approach","Keloth VK, Banda JM, Gurley M, Heider PM, Kennedy G, Liu H, Liu F, Miller T, Natarajan K, V Patterson O, Peng Y, Raja K, Reeves RM, Rouhizadeh M, Shi J, Wang X, Wang Y, Wei WQ, Williams AE, Zhang R, Belenkaya R, Reich C, Blacketer C, Ryan P, Hripcsak G, Elhadad N, Xu H.","J Biomed Inform. 2023 Jun;142:104343. doi: 10.1016/j.jbi.2023.104343. Epub 2023 Mar 17.","Keloth VK","J Biomed Inform","2023","2023/03/19","PMC10428170","NIHMS1897646","10.1016/j.jbi.2023.104343"
"37034358","Contextualising adverse events of special interest to characterise the baseline incidence rates in 24 million patients with COVID-19 across 26 databases: a multinational retrospective cohort study","Voss EA, Shoaibi A, Yin Hui Lai L, Blacketer C, Alshammari T, Makadia R, Haynes K, Sena AG, Rao G, van Sandijk S, Fraboulet C, Boyer L, Le Carrour T, Horban S, Morales DR, Martínez Roldán J, Ramírez-Anguita JM, Mayer MA, de Wilde M, John LH, Duarte-Salles T, Roel E, Pistillo A, Kolde R, Maljković F, Denaxas S, Papez V, Kahn MG, Natarajan K, Reich C, Secora A, Minty EP, Shah NH, Posada JD, Garcia Morales MT, Bosca D, Cadenas Juanino H, Diaz Holgado A, Pedrera Jiménez M, Serrano Balazote P, García Barrio N, Şen S, Üresin AY, Erdogan B, Belmans L, Byttebier G, Malbrain MLNG, Dedman DJ, Cuccu Z, Vashisht R, Butte AJ, Patel A, Dahm L, Han C, Bu F, Arshad F, Ostropolets A, Nyberg F, Hripcsak G, Suchard MA, Prieto-Alhambra D, Rijnbeek PR, Schuemie MJ, Ryan PB.","EClinicalMedicine. 2023 Apr;58:101932. doi: 10.1016/j.eclinm.2023.101932. Epub 2023 Apr 4.","Voss EA","EClinicalMedicine","2023","2023/04/10","PMC10072853","","10.1016/j.eclinm.2023.101932"
"38635655","The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset","Ward R, Hallinan CM, Ormiston-Smith D, Chidgey C, Boyle D.","PLoS One. 2024 Apr 18;19(4):e0301557. doi: 10.1371/journal.pone.0301557. eCollection 2024.","Ward R","PLoS One","2024","2024/04/18","PMC11025850","","10.1371/journal.pone.0301557"
"38412331","Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network","Naderalvojoud B, Curtin CM, Yanover C, El-Hay T, Choi B, Park RW, Tabuenca JG, Reeve MP, Falconer T, Humphreys K, Asch SM, Hernandez-Boussard T.","J Am Med Inform Assoc. 2024 Apr 19;31(5):1051-1061. doi: 10.1093/jamia/ocae028.","Naderalvojoud B","J Am Med Inform Assoc","2024","2024/02/27","PMC11031239","","10.1093/jamia/ocae028"
"39140273","Transforming Primary Care Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study","Fruchart M, Quindroit P, Jacquemont C, Beuscart JB, Calafiore M, Lamer A.","JMIR Med Inform. 2024 Aug 13;12:e49542. doi: 10.2196/49542.","Fruchart M","JMIR Med Inform","2024","2024/08/14","PMC11337138","","10.2196/49542"
"34714250","Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study","Lamer A, Abou-Arab O, Bourgeois A, Parrot A, Popoff B, Beuscart JB, Tavernier B, Moussa MD.","J Med Internet Res. 2021 Oct 29;23(10):e29259. doi: 10.2196/29259.","Lamer A","J Med Internet Res","2021","2021/10/29","PMC8590192","","10.2196/29259"
"36029954","Towards quality improvement of vaccine concept mappings in the OMOP vocabulary with a semi-automated method","Abeysinghe R, Black A, Kaduk D, Li Y, Reich C, Davydov A, Yao L, Cui L.","J Biomed Inform. 2022 Oct;134:104162. doi: 10.1016/j.jbi.2022.104162. Epub 2022 Aug 25.","Abeysinghe R","J Biomed Inform","2022","2022/08/27","PMC9940475","NIHMS1870816","10.1016/j.jbi.2022.104162"
"39228725","Adoption of the OMOP CDM for Cancer Research using Real-world Data: Current Status and Opportunities","Wang L, Wen A, Fu S, Ruan X, Huang M, Li R, Lu Q, Williams AE, Liu H.","medRxiv [Preprint]. 2024 Aug 23:2024.08.23.24311950. doi: 10.1101/2024.08.23.24311950.","Wang L","medRxiv","2024","2024/09/04","PMC11370549","","10.1101/2024.08.23.24311950"
"32477694","Integrating Electronic Health Record Data into the ADEpedia-on-OHDSI Platform for Improved Signal Detection: A Case Study of Immune-related Adverse Events","Yu Y, Ruddy KJ, Wen A, Zong N, Tsuji S, Chen J, Shah ND, Jiang G.","AMIA Jt Summits Transl Sci Proc. 2020 May 30;2020:710-719. eCollection 2020.","Yu Y","AMIA Jt Summits Transl Sci Proc","2020","2020/06/02","PMC7233056","",""
"38593431","Converge or Collide? Making Sense of a Plethora of Open Data Standards in Health Care","Tsafnat G, Dunscombe R, Gabriel D, Grieve G, Reich C.","J Med Internet Res. 2024 Apr 9;26:e55779. doi: 10.2196/55779.","Tsafnat G","J Med Internet Res","2024","2024/04/09","PMC11040436","","10.2196/55779"
"35115001","Evaluating the performance of temporal pattern discovery: new application using statins and rhabdomyolysis in OMOP databases","Lavallee M, Yu T, Evans L, Van Hemelrijck M, Bosco C, Golozar A, Asiimwe A.","BMC Med Inform Decis Mak. 2022 Feb 3;22(1):31. doi: 10.1186/s12911-022-01765-1.","Lavallee M","BMC Med Inform Decis Mak","2022","2022/02/04","PMC8812213","","10.1186/s12911-022-01765-1"
"41726461","LEVERAGING EPIC'S NATIVE ETL INFRASTRUCTURE FOR OMOP CDM IMPLEMENTATION: A COLLABORATIVE EXPERIENCE","Cooper LN, Vadsariya A, Varghese M, Nayee B, Moon J, Katterapalli C, Walker C, Gonzalez C, Sohal S, Lehmann CU, Velasco F, Basit M, Willett D.","AMIA Annu Symp Proc. 2025 May 22;2024:287-292. eCollection 2024.","Cooper LN","AMIA Annu Symp Proc","2025","2026/02/23","PMC12919598","",""
"31238109","HemOnc: A new standard vocabulary for chemotherapy regimen representation in the OMOP common data model","Warner JL, Dymshyts D, Reich CG, Gurley MJ, Hochheiser H, Moldwin ZH, Belenkaya R, Williams AE, Yang PC.","J Biomed Inform. 2019 Aug;96:103239. doi: 10.1016/j.jbi.2019.103239. Epub 2019 Jun 22.","Warner JL","J Biomed Inform","2019","2019/06/26","PMC6697579","NIHMS1534326","10.1016/j.jbi.2019.103239"
"30421323","Analysis of treatment pathways for three chronic diseases using OMOP CDM","Zhang X, Wang L, Miao S, Xu H, Yin Y, Zhu Y, Dai Z, Shan T, Jing S, Wang J, Zhang X, Huang Z, Wang Z, Guo J, Liu Y.","J Med Syst. 2018 Nov 13;42(12):260. doi: 10.1007/s10916-018-1076-5.","Zhang X","J Med Syst","2018","2018/11/14","PMC6244882","","10.1007/s10916-018-1076-5"
"36478647","Establishment of an International Evidence Sharing Network Through Common Data Model for Cardiovascular Research","You SC, Lee S, Choi B, Park RW.","Korean Circ J. 2022 Dec;52(12):853-864. doi: 10.4070/kcj.2022.0294.","You SC","Korean Circ J","2022","2022/12/08","PMC9742390","","10.4070/kcj.2022.0294"
"38025162","Advancing Toward a Common Data Model in Ophthalmology: Gap Analysis of General Eye Examination Concepts to Standard Observational Medical Outcomes Partnership (OMOP) Concepts","Cai CX, Halfpenny W, Boland MV, Lehmann HP, Hribar M, Goetz KE, Baxter SL.","Ophthalmol Sci. 2023 Aug 25;3(4):100391. doi: 10.1016/j.xops.2023.100391. eCollection 2023 Dec.","Cai CX","Ophthalmol Sci","2023","2023/11/29","PMC10630664","","10.1016/j.xops.2023.100391"
"38893186","Transforming a Large-Scale Prostate Cancer Outcomes Dataset to the OMOP Common Data Model-Experiences from a Scientific Data Holder's Perspective","Sibert NT, Soff J, La Ferla S, Quaranta M, Kremer A, Kowalski C.","Cancers (Basel). 2024 May 30;16(11):2069. doi: 10.3390/cancers16112069.","Sibert NT","Cancers (Basel)","2024","2024/06/19","PMC11171220","","10.3390/cancers16112069"
"39552716","Incidence of post-acute COVID-19 symptoms across healthcare settings in seven countries: an international retrospective cohort study using routinely-collected data","Xie J, López-Güell K, Dedman D, Duarte-Salles T, Kolde R, López-Blasco R, Martínez Á, Mercier G, Abellan A, Arinze JT, Cuccu Z, Delmestri A, Delseny D, Khalid S, Kim C, Kim JW, Kostka K, Loste C, Mateu L, Mayer MA, Meléndez-Cardiel J, Mercadé-Besora N, Mosseveld M, Nishimura A, Nordeng HME, Oyinlola JO, Pérez-Crespo L, Pineda-Moncusí M, Ramírez-Anguita JM, Trinh NTH, Uusküla A, Valdivieso B, Burkard T, Burn E, Català M, Prieto-Alhambra D, Paredes R, Jödicke AM.","EClinicalMedicine. 2024 Oct 30;77:102903. doi: 10.1016/j.eclinm.2024.102903. eCollection 2024 Nov.","Xie J","EClinicalMedicine","2024","2024/11/18","PMC11564986","","10.1016/j.eclinm.2024.102903"
"31325501","Facilitating phenotype transfer using a common data model","Hripcsak G, Shang N, Peissig PL, Rasmussen LV, Liu C, Benoit B, Carroll RJ, Carrell DS, Denny JC, Dikilitas O, Gainer VS, Howell KM, Klann JG, Kullo IJ, Lingren T, Mentch FD, Murphy SN, Natarajan K, Pacheco JA, Wei WQ, Wiley K, Weng C.","J Biomed Inform. 2019 Aug;96:103253. doi: 10.1016/j.jbi.2019.103253. Epub 2019 Jul 17.","Hripcsak G","J Biomed Inform","2019","2019/07/21","PMC6697565","NIHMS1535478","10.1016/j.jbi.2019.103253"
"37459703","ReDWINE: A clinical datamart with text analytical capabilities to facilitate rehabilitation research","Oniani D, Parmanto B, Saptono A, Bove A, Freburger J, Visweswaran S, Cappella N, McLay B, Silverstein JC, Becich MJ, Delitto A, Skidmore E, Wang Y.","Int J Med Inform. 2023 Sep;177:105144. doi: 10.1016/j.ijmedinf.2023.105144. Epub 2023 Jul 11.","Oniani D","Int J Med Inform","2023","2023/07/17","PMC10528160","NIHMS1918582","10.1016/j.ijmedinf.2023.105144"
"37442314","Eos and OMOCL: Towards a seamless integration of openEHR records into the OMOP Common Data Model","Kohler S, Boscá D, Kärcher F, Haarbrandt B, Prinz M, Marschollek M, Eils R.","J Biomed Inform. 2023 Aug;144:104437. doi: 10.1016/j.jbi.2023.104437. Epub 2023 Jul 12.","Kohler S","J Biomed Inform","2023","2023/07/13","","","10.1016/j.jbi.2023.104437"
"38280887","A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data","Ahmadi N, Nguyen QV, Sedlmayr M, Wolfien M.","Sci Rep. 2024 Jan 27;14(1):2287. doi: 10.1038/s41598-024-52723-y.","Ahmadi N","Sci Rep","2024","2024/01/27","PMC10821926","","10.1038/s41598-024-52723-y"
"30943974","Developing a portable natural language processing based phenotyping system","Sharma H, Mao C, Zhang Y, Vatani H, Yao L, Zhong Y, Rasmussen L, Jiang G, Pathak J, Luo Y.","BMC Med Inform Decis Mak. 2019 Apr 4;19(Suppl 3):78. doi: 10.1186/s12911-019-0786-z.","Sharma H","BMC Med Inform Decis Mak","2019","2019/04/05","PMC6448187","","10.1186/s12911-019-0786-z"
"39143600","How to customize common data models for rare diseases: an OMOP-based implementation and lessons learned","Ahmadi N, Zoch M, Guengoeze O, Facchinello C, Mondorf A, Stratmann K, Musleh K, Erasmus HP, Tchertov J, Gebler R, Schaaf J, Frischen LS, Nasirian A, Dai J, Henke E, Tremblay D, Srisuwananukorn A, Bornhäuser M, Röllig C, Eckardt JN, Middeke JM, Wolfien M, Sedlmayr M.","Orphanet J Rare Dis. 2024 Aug 14;19(1):298. doi: 10.1186/s13023-024-03312-9.","Ahmadi N","Orphanet J Rare Dis","2024","2024/08/14","PMC11325822","","10.1186/s13023-024-03312-9"
"38472144","Markov modeling for cost-effectiveness using federated health data network","Haug M, Oja M, Pajusalu M, Mooses K, Reisberg S, Vilo J, Giménez AF, Falconer T, Danilović A, Maljkovic F, Dawoud D, Kolde R.","J Am Med Inform Assoc. 2024 Apr 19;31(5):1093-1101. doi: 10.1093/jamia/ocae044.","Haug M","J Am Med Inform Assoc","2024","2024/03/13","PMC11031209","","10.1093/jamia/ocae044"
"37942786","Assessing the Use of German Claims Data Vocabularies for Research in the Observational Medical Outcomes Partnership Common Data Model: Development and Evaluation Study","Henke E, Zoch M, Kallfelz M, Ruhnke T, Leutner LA, Spoden M, Günster C, Sedlmayr M, Bathelt F.","JMIR Med Inform. 2023 Nov 7;11:e47959. doi: 10.2196/47959.","Henke E","JMIR Med Inform","2023","2023/11/09","PMC10653283","","10.2196/47959"
