PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36233137","OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review","Ahmadi N, Peng Y, Wolfien M, Zoch M, Sedlmayr M.","Int J Mol Sci. 2022 Oct 5;23(19):11834. doi: 10.3390/ijms231911834.","Ahmadi N","Int J Mol Sci","2022","2022/10/14","PMC9569469","","10.3390/ijms231911834"
"34001114","An OMOP-CDM based pharmacovigilance data-processing pipeline (PDP) providing active surveillance for ADR signal detection from real-world data sources","Shin H, Lee S.","BMC Med Inform Decis Mak. 2021 May 17;21(1):159. doi: 10.1186/s12911-021-01520-y.","Shin H","BMC Med Inform Decis Mak","2021","2021/05/18","PMC8130307","","10.1186/s12911-021-01520-y"
"38408983","Conceptual design of a generic data harmonization process for OMOP common data model","Henke E, Zoch M, Peng Y, Reinecke I, Sedlmayr M, Bathelt F.","BMC Med Inform Decis Mak. 2024 Feb 26;24(1):58. doi: 10.1186/s12911-024-02458-7.","Henke E","BMC Med Inform Decis Mak","2024","2024/02/26","PMC10895818","","10.1186/s12911-024-02458-7"
"38387992","Seamless EMR data access: Integrated governance, digital health and the OMOP-CDM","Hallinan CM, Ward R, Hart GK, Sullivan C, Pratt N, Ng AP, Capurro D, Van Der Vegt A, Liaw ST, Daly O, Luxan BG, Bunker D, Boyle D.","BMJ Health Care Inform. 2024 Feb 21;31(1):e100953. doi: 10.1136/bmjhci-2023-100953.","Hallinan CM","BMJ Health Care Inform","2024","2024/02/22","PMC10882353","","10.1136/bmjhci-2023-100953"
"38777085","Converting OMOP CDM to phenopackets: A model alignment and patient data representation evaluation","Schiffer-Kane K, Liu C, Callahan TJ, Ta C, Nestor JG, Weng C.","J Biomed Inform. 2024 Jul;155:104659. doi: 10.1016/j.jbi.2024.104659. Epub 2024 May 21.","Schiffer-Kane K","J Biomed Inform","2024","2024/05/22","PMC11181468","NIHMS1996819","10.1016/j.jbi.2024.104659"
"33987667","Deep-learning-based automated terminology mapping in OMOP-CDM","Kang B, Yoon J, Kim HY, Jo SJ, Lee Y, Kam HJ.","J Am Med Inform Assoc. 2021 Jul 14;28(7):1489-1496. doi: 10.1093/jamia/ocab030.","Kang B","J Am Med Inform Assoc","2021","2021/05/14","PMC8279781","","10.1093/jamia/ocab030"
"36089199","FHIR-Ontop-OMOP: Building clinical knowledge graphs in FHIR RDF with the OMOP Common data Model","Xiao G, Pfaff E, Prud'hommeaux E, Booth D, Sharma DK, Huo N, Yu Y, Zong N, Ruddy KJ, Chute CG, Jiang G.","J Biomed Inform. 2022 Oct;134:104201. doi: 10.1016/j.jbi.2022.104201. Epub 2022 Sep 9.","Xiao G","J Biomed Inform","2022","2022/09/11","PMC9561043","NIHMS1839711","10.1016/j.jbi.2022.104201"
"38635655","The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset","Ward R, Hallinan CM, Ormiston-Smith D, Chidgey C, Boyle D.","PLoS One. 2024 Apr 18;19(4):e0301557. doi: 10.1371/journal.pone.0301557. eCollection 2024.","Ward R","PLoS One","2024","2024/04/18","PMC11025850","","10.1371/journal.pone.0301557"
"36595527","Exploring the potential of OMOP common data model for process mining in healthcare","Park K, Cho M, Song M, Yoo S, Baek H, Kim S, Kim K.","PLoS One. 2023 Jan 3;18(1):e0279641. doi: 10.1371/journal.pone.0279641. eCollection 2023.","Park K","PLoS One","2023","2023/01/03","PMC9810199","","10.1371/journal.pone.0279641"
"37774908","Evaluation of OMOP CDM, i2b2 and ICGC ARGO for supporting data harmonization in a breast cancer use case of a multicentric European AI project","Frid S, Bracons Cucó G, Gil Rojas J, López-Rueda A, Pastor Duran X, Martínez-Sáez O, Lozano-Rubí R.","J Biomed Inform. 2023 Nov;147:104505. doi: 10.1016/j.jbi.2023.104505. Epub 2023 Sep 27.","Frid S","J Biomed Inform","2023","2023/09/29","","","10.1016/j.jbi.2023.104505"
"36130711","Conversion of Automated 12-Lead Electrocardiogram Interpretations to OMOP CDM Vocabulary","Choi S, Joo HJ, Kim Y, Kim JH, Seok J.","Appl Clin Inform. 2022 Aug;13(4):880-890. doi: 10.1055/s-0042-1756427. Epub 2022 Sep 21.","Choi S","Appl Clin Inform","2022","2022/09/21","PMC9492322","","10.1055/s-0042-1756427"
"32492716","EHR-Independent Predictive Decision Support Architecture Based on OMOP","Unberath P, Prokosch HU, Gründner J, Erpenbeck M, Maier C, Christoph J.","Appl Clin Inform. 2020 May;11(3):399-404. doi: 10.1055/s-0040-1710393. Epub 2020 Jun 3.","Unberath P","Appl Clin Inform","2020","2020/06/04","PMC7269719","","10.1055/s-0040-1710393"
"40957639","Validation of the transformed clinical practice research datalink (CPRD) GOLD and aurum data into the OMOP common data model","Kafatos G, Maskell J, Archangelidi O, Neasham D.","Health Informatics J. 2025 Jul-Sep;31(3):14604582251381270. doi: 10.1177/14604582251381270. Epub 2025 Sep 16.","Kafatos G","Health Informatics J","2025","2025/09/16","","","10.1177/14604582251381270"
"39228725","Adoption of the OMOP CDM for Cancer Research using Real-world Data: Current Status and Opportunities","Wang L, Wen A, Fu S, Ruan X, Huang M, Li R, Lu Q, Williams AE, Liu H.","medRxiv [Preprint]. 2024 Aug 23:2024.08.23.24311950. doi: 10.1101/2024.08.23.24311950.","Wang L","medRxiv","2024","2024/09/04","PMC11370549","","10.1101/2024.08.23.24311950"
"32477663","Mapping Local Biospecimen Records to the OMOP Common Data Model","Michael CL, Sholle ET, Wulff RT, Roboz GJ, Campion TR Jr.","AMIA Jt Summits Transl Sci Proc. 2020 May 30;2020:422-429. eCollection 2020.","Michael CL","AMIA Jt Summits Transl Sci Proc","2020","2020/06/02","PMC7233045","",""
