Filename,DOI,OpenAlex ID,PMID,PMCID,Title,Authors,First Author,Journal,Publication Year,Create Date,Citation,Metadata Source,File Size Bytes,Page Count,SHA256,PDF Title,PDF Author,PDF Subject,PDF Keywords,PDF Creator,PDF Producer
10.1002_ana.25757__e2c8a189ce96.pdf,10.1002/ana.25757,,,,Randomized Clinical Trial of<scp>First‐Line</scp>Genome Sequencing in Pediatric White Matter Disorders,"Vanderver A, Bernard G, Helman G, Sherbini O, Boeck R, Cohn J, Collins A, Demarest S, Dobbins K, Emrick L, Fraser J, Masser‐Frye D, Hayward J, Karmarkar S, Keller S, Mirrop S, Mitchell W, Pathak S, Sherr E, van Haren K, Waters E, Wilson J, Zhorne L, Schiffmann R, van der Knaap M, Pizzino A, Dubbs H, Shults J, Simons C, Taft R",Vanderver A,Annals of Neurology,2020,,,crossref,549788,10,1e711ad5731c767796f66870bdc2434f1cc92a25188fb6116066d3def3565597,Randomized Clinical Trial of First‐Line Genome Sequencing in Pediatric White Matter Disorders,,Annals of Neurology 2020.88:264-273,,Arbortext Advanced Print Publisher 9.1.520/W Unicode,Acrobat Distiller 11.0 (Windows); modified using iText 4.2.0 by 1T3XT
10.1002_em.22243__fd790984b8db.pdf,10.1002/em.22243,,,,Using a gene expression biomarker to identify DNA damage‐inducing agents in microarray profiles,"Corton J, Williams A, Yauk C",Corton J,Environmental and Molecular Mutagenesis,2018,,,crossref,1392435,31,c5b0819065462cd4cf563a55e305a50479b4ab75c5901ad1a50d0d041731f95f,"Using a Gene Expression Biomarker to Identify DNA Damage-Inducing
Agents in Microarray Profiles","J. Christopher Corton, Andrew Williams, Carole L. Yauk",,"genotoxicity, gene expression profiling, biomarker, toxicogenomics, TK6 cells, HepaRG cells",AH XSL Formatter V6.6 MR7 for Linux64 : 6.6.9.39847 (2019-07-29T09:58+09),Antenna House PDF Output Library 6.6.1477 (Linux64)
10.1007_s00285-011-0471-z__50218a14895f.pdf,10.1007/s00285-011-0471-z,,,,"Transition probabilities for general birth–death processes with applications in ecology, genetics, and evolution","Crawford F, Suchard M",Crawford F,Journal of Mathematical Biology,2011,,,crossref,639425,36,182b61dc0b7b6c70b1bb841850a05c493f6650b5f52d0f8493880de936d45876,,,,,LaTeX with hyperref package,pdfTeX-1.40.10
10.1007_s10278-009-9241-5__e7ddda9518ca.pdf,10.1007/s10278-009-9241-5,,,,Developing and Verifying the Psychometric Integrity of the Certification Examination for Imaging Informatics Professionals,"Raymond M, Nagy P",Raymond M,Journal of Digital Imaging,2009,,,crossref,116896,5,9060fe1bca3d1f9921e20d17944aa343f7070f90d4bbe3a2f64f1ac41b11537e,,,,,3B2 Total Publishing System 8.07e/W Unicode,Acrobat Distiller 7.0 (Windows)
10.1007_s10278-009-9242-4__d8989cb3f975.pdf,10.1007/s10278-009-9242-4,,,,Is Android or iPhone the Platform for Innovation in Imaging Informatics,"Shih G, Lakhani P, Nagy P",Shih G,Journal of Digital Imaging,2009,,,crossref,130174,6,bacb9a8343d5f1b621460d1693b8e23c30520effb4adddbb274a905933cb39d7,,,,,3B2 Total Publishing System 8.07e/W Unicode,Acrobat Distiller 6.0 (Windows)
10.1007_s10278-009-9249-x__b74f5d85a2a3.pdf,10.1007/s10278-009-9249-x,,,,Should Medical Schools Incorporate Formal Training in Informatics?,"Chen M, Safdar N, Nagy P",Chen M,Journal of Digital Imaging,2009,,,crossref,101546,5,a0820c0e3b74b0ab8827cd8293bd101d7582e220a8612ffd2c4d34cc179d2162,,,,,3B2 Total Publishing System 8.07e/W Unicode,Acrobat Distiller 7.0 (Windows)
10.1007_s10278-012-9508-0__0edc98ccb4a6.pdf,10.1007/s10278-012-9508-0,,,,The IIP Examination: an Analysis of Group Performance 2009–2011,"Babcock B, Nagy P",Babcock B,Journal of Digital Imaging,2013,,,crossref,210572,5,7f1ddc3f68b5e7884b64d3c2c3f35497270e4f181949e58ec19dd6a02ca57d94,,,,,3B2 Total Publishing System 8.07e/W Unicode,Acrobat Distiller 9.5.0 (Windows)
10.1016_j.chaos.2012.03.003__1c1e42da46dc.pdf,10.1016/j.chaos.2012.03.003,,,,Estimation of time-delayed mutual information and bias for irregularly and sparsely sampled time-series,"Albers D, Hripcsak G",Albers D,"Chaos, Solitons &amp; Fractals",2012,,,crossref,373286,12,170c65cf2481ae1c2900415fb92e7bfa778229211df0edbfcf8fe2e5ec069c1c,,,,,LaTeX with hyperref package,dvips + GPL Ghostscript GIT PRERELEASE 9.22
10.1016_j.coviro.2011.10.003__3625f7cea437.pdf,10.1016/j.coviro.2011.10.003,,,,Toward a quantitative understanding of viral phylogeography,"Faria N, Suchard M, Rambaut A, Lemey P",Faria N,Current Opinion in Virology,2011,,,crossref,1248402,13,bd81153f2907bbd22152cc0b64f632780a84ee0b51bc840d2448a9138ca65b9c,,,,,"AH Formatter V5.0 MR2a (5,0,2009,0623) for Linux",Antenna House PDF Output Library 2.6.0 (Linux)
10.1016_j.jacc.2022.10.008__7102808aa129.pdf,10.1016/j.jacc.2022.10.008,,,,Direct Oral Anticoagulants vs Vitamin K Antagonists in Patients With Antiphospholipid Syndromes,"Khairani C, Bejjani A, Piazza G, Jimenez D, Monreal M, Chatterjee S, Pengo V, Woller S, Cortes-Hernandez J, Connors J, Kanthi Y, Krumholz H, Middeldorp S, Falanga A, Cushman M, Goldhaber S, Garcia D, Bikdeli B",Khairani C,Journal of the American College of Cardiology,2023,,,crossref,1625903,16,ee73b4a7aaff1dde1195a6d1d6ab2cef526f9b027ed5878a487053bde4062800,,,,,,iText 1.4.8 (by lowagie.com)
10.1016_j.jbi.2018.08.014__11fec9f3ed8f.pdf,10.1016/j.jbi.2018.08.014,,30172760,PMC6207533,Methodological variations in lagged regression for detecting physiologic drug effects in EHR data,"Levine ME, Albers DJ, Hripcsak G.",Levine ME,J Biomed Inform,2018,2018/09/03,J Biomed Inform. 2018 Oct;86:149-159. doi: 10.1016/j.jbi.2018.08.014. Epub 2018 Aug 30.,existing_csv,3298175,44,02d8fbd7a4ad496b0c53551bcdf2d7a601037e376142e82f48191fd452a5005d,,Matthew Levine,,,Microsoft Word,
10.1016_j.jbi.2024.104771__38f265053829.pdf,10.1016/j.jbi.2024.104771,,,,A pipeline for harmonising NHS Scotland laboratory data to enable national-level analyses,"Gao C, Mumtaz S, McCall S, O’Sullivan K, McGilchrist M, Morales D, Hall C, Wilde K, Mayor C, Linksted P, Harrison K, Cole C, Jefferson E",Gao C,Journal of Biomedical Informatics,2025,,,crossref,1049697,31,400776b8e6324b08ecbb851dd075b27389eaf52d4a750c084f817c0d5332821e,,,,,,OpenPDF 1.4.2
