Group ID,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Source Files,Source Row Count,Is OA,OA URL,PDF Path,Download Source,Failure Reason,Download Status
paper-0001,38175665,OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization,"Reich C, Ostropolets A, Ryan P, Rijnbeek P, Schuemie M, Davydov A, Dymshyts D, Hripcsak G.",J Am Med Inform Assoc. 2024 Feb 16;31(3):583-590. doi: 10.1093/jamia/ocad247.,Reich C,J Am Med Inform Assoc,2024,2024/01/04,PMC10873827,,10.1093/jamia/ocad247,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://academic.oup.com/jamia/advance-article-pdf/doi/10.1093/jamia/ocad247/55023439/ocad247.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1093_jamia_ocad247__37fea59b6d3e.pdf,existing_file,,downloaded
paper-0002,37361151,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model,"Kiwuwa-Muyingo S, Todd J, Bhattacharjee T, Taylor A, Greenfield J.",Front Public Health. 2023 Jun 9;11:1116682. doi: 10.3389/fpubh.2023.1116682. eCollection 2023.,Kiwuwa-Muyingo S,Front Public Health,2023,2023/06/26,PMC10287979,,10.3389/fpubh.2023.1116682,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.frontiersin.org/articles/10.3389/fpubh.2023.1116682/pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3389_fpubh.2023.1116682__19004f67d573.pdf,existing_file,,downloaded
paper-0003,36233137,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review,"Ahmadi N, Peng Y, Wolfien M, Zoch M, Sedlmayr M.",Int J Mol Sci. 2022 Oct 5;23(19):11834. doi: 10.3390/ijms231911834.,Ahmadi N,Int J Mol Sci,2022,2022/10/14,PMC9569469,,10.3390/ijms231911834,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.mdpi.com/1422-0067/23/19/11834/pdf?version=1665383694,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3390_ijms231911834__e12cf806221e.pdf,existing_file,,downloaded
paper-0004,39976940,Semaglutide and Nonarteritic Anterior Ischemic Optic Neuropathy,"Cai CX, Hribar M, Baxter S, Goetz K, Swaminathan SS, Flowers A, Brown EN, Toy B, Xu B, Chen J, Chen A, Wang S, Lee C, Leng T, Ehrlich JR, Barkmeier A, Armbrust KR, Boland MV, Dorr D, Boyce D, Alshammari T, Swerdel J, Suchard MA, Schuemie M, Bu F, Sena AG, Hripcsak G, Nishimura A, Nagy P, Falconer T, DuVall SL, Matheny M, Viernes B, O'Brien W, Zhang L, Martin B, Westlund E, Mathioudakis N, Fan R, Wilcox A, Lai A, Stocking JC, Takkouche S, Lee LH, Xie Y, Humes I, McCoy DB, Adibuzzaman M, Areaux RG Jr, Rojas-Carabali W, Brash J, Lee DA, Weiskopf NG, Mawn L, Agrawal R, Morgan-Cooper H, Desai P, Ryan PB.",JAMA Ophthalmol. 2025 Apr 1;143(4):304-314. doi: 10.1001/jamaophthalmol.2024.6555.,Cai CX,JAMA Ophthalmol,2025,2025/02/20,PMC11843465,,10.1001/jamaophthalmol.2024.6555,csv-OHDSI-set.csv,1,yes,https://jamanetwork.com/journals/jamaophthalmology/articlepdf/2830475/jamaophthalmology_cai_2025_oi_240096_1739374211.90893.pdf,,,supplement_only_removed,removed_supplement_only
paper-0005,30306935,Biomedical Informatics Investigator,"Elkin PL, Mullin S, Sakilay S.",Stud Health Technol Inform. 2018;255:195-199.,Elkin PL,Stud Health Technol Inform,2018,2018/10/12,PMC7847179,NIHMS1655784,,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://europepmc.org/articles/PMC7847179?pdf=render,,,HTTPError,failed
paper-0006,41192935,Semaglutide and diabetic retinopathy: an OHDSI network study,"Cai CX, Nishimura A, Baxter S, Goetz K, Hribar M, Toy B, Barkmeier A, Wang S, Swaminathan S, Flowers A, Brown E, Xu B, Chen J, Chen A, Leng T, Boland M, Alshammari T, Bu F, Falconer T, Martin B, Westlund E, Mathioudakis N, Zhang L, Fan R, Wilcox A, Lai A, Stocking JC, Xie Y, Lee LH, Dorr D, Humes I, McCoy D, Adibuzzaman M, Areaux R Jr, Brash J, Weiskopf N, Morgan-Cooper H, Desai P, Tran D, Rustam Z, Zhu G, Swerdel J, Sena A, Nagy P, Suchard M, Schuemie M, Hripcsak G, Ryan P.",BMJ Open Diabetes Res Care. 2025 Nov 4;13(6):e005424. doi: 10.1136/bmjdrc-2025-005424.,Cai CX,BMJ Open Diabetes Res Care,2025,2025/11/05,PMC12587949,,10.1136/bmjdrc-2025-005424,csv-OHDSI-set.csv,1,yes,https://drc.bmj.com/content/13/6/e005424.full.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1136_bmjdrc-2025-005424__5aeeb076f8bf.pdf,existing_file,,downloaded
paper-0007,38408983,Conceptual design of a generic data harmonization process for OMOP common data model,"Henke E, Zoch M, Peng Y, Reinecke I, Sedlmayr M, Bathelt F.",BMC Med Inform Decis Mak. 2024 Feb 26;24(1):58. doi: 10.1186/s12911-024-02458-7.,Henke E,BMC Med Inform Decis Mak,2024,2024/02/26,PMC10895818,,10.1186/s12911-024-02458-7,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02458-7,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1186_s12911-024-02458-7__eeaee2cea0db.pdf,existing_file,,downloaded
paper-0008,38818399,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation,"Wirth FN, Abu Attieh H, Prasser F.",Front Med (Lausanne). 2024 May 16;11:1378866. doi: 10.3389/fmed.2024.1378866. eCollection 2024.,Wirth FN,Front Med (Lausanne),2024,2024/05/31,PMC11137233,,10.3389/fmed.2024.1378866,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://public-pages-files-2025.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1378866/pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3389_fmed.2024.1378866__a3215dbffe5d.pdf,existing_file,,downloaded
paper-0009,29365340,Towards Implementation of OMOP in a German University Hospital Consortium,"Maier C, Lang L, Storf H, Vormstein P, Bieber R, Bernarding J, Herrmann T, Haverkamp C, Horki P, Laufer J, Berger F, Höning G, Fritsch HW, Schüttler J, Ganslandt T, Prokosch HU, Sedlmayr M.",Appl Clin Inform. 2018 Jan;9(1):54-61. doi: 10.1055/s-0037-1617452. Epub 2018 Jan 24.,Maier C,Appl Clin Inform,2018,2018/01/25,PMC5801887,,10.1055/s-0037-1617452,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0037-1617452.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1055_s-0037-1617452__b053e4bb8bb3.pdf,existing_file,,downloaded
paper-0010,27274072,Characterizing treatment pathways at scale using the OHDSI network,"Hripcsak G, Ryan PB, Duke JD, Shah NH, Park RW, Huser V, Suchard MA, Schuemie MJ, DeFalco FJ, Perotte A, Banda JM, Reich CG, Schilling LM, Matheny ME, Meeker D, Pratt N, Madigan D.",Proc Natl Acad Sci U S A. 2016 Jul 5;113(27):7329-36. doi: 10.1073/pnas.1510502113. Epub 2016 Jun 6.,Hripcsak G,Proc Natl Acad Sci U S A,2016,2016/06/09,PMC4941483,,10.1073/pnas.1510502113,csv-OHDSI-set.csv,1,yes,https://www.pnas.org/content/pnas/113/27/7329.full.pdf,,,HTTPError,failed
