Group ID,PMID,PMCID,DOI,Title,Authors,First Author,Journal/Book,Publication Year,Create Date,Source Files,Source Row Count,Is OA,OA URL,Download Source,PDF Path,File Size Bytes,SHA256,Page Count,PDF Title,PDF Author,PDF Subject,PDF Keywords,PDF Creator,PDF Producer
paper-0001,38175665,PMC10873827,10.1093/jamia/ocad247,OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization,"Reich C, Ostropolets A, Ryan P, Rijnbeek P, Schuemie M, Davydov A, Dymshyts D, Hripcsak G.",Reich C,J Am Med Inform Assoc,2024,2024/01/04,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://academic.oup.com/jamia/advance-article-pdf/doi/10.1093/jamia/ocad247/55023439/ocad247.pdf,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1093_jamia_ocad247__37fea59b6d3e.pdf,1485385,4265b91b3d9e9986ffe3caa644787ba0cb8cd4907ce0eacb84e9f607a653c1ed,8,OHDSI Standardized Vocabularies—a large-scale centralized reference ontology for international data harmonization,,"Doi: 10.1093/jamia/ocad247 Journal of the American Medical Informatics Association, 00, 00, 2024 Publication Date: 03/01/2024 Abstract Importance The Observational Health Data Sciences and Informatics (OHDSI) is the largest distributed data network in the world encompassing more than 331 data sources with 2.1 billion patient records across 34 countries. It enables large-scale observational research through standardizing the data into a common data model (CDM) (Observational Medical Outcomes Partnership [OMOP] CDM) and requires a comprehensive, efficient, and reliable ontology system to support data harmonization.Materials and methods We created the OHDSI Standardized Vocabularies—a common reference ontology mandatory to all data sites in the network. It comprises imported and de novo-generated ontologies containing concepts and relationships between them, and the praxis of converting the source data to the OMOP CDM based on these. It enables harmonization through assigned domains according to clinical categories, comprehensive coverage of entities within each domain, support for commonly used international coding schemes, and standardization of semantically equivalent concepts.Results The OHDSI Standardized Vocabularies comprise over 10 million concepts from 136 vocabularies. They are used by hundreds of groups and several large data networks. More than 8600 users have performed 50 000 downloads of the system. This open-source resource has proven to address an impediment of large-scale observational research—the dependence on the context of source data representation. With that, it has enabled efficient phenotyping, covariate construction, patient-level prediction, population-level estimation, and standard reporting.Discussion and conclusion OHDSI has made available a comprehensive, open vocabulary system that is unmatched in its ability to support global observational research. We encourage researchers to exploit it and contribute their use cases to this dynamic resource.",OHDSI; controlled vocabulary; common data model; observational data,Servigistics Arbortext Advanced Print Publisher 11.1.4667/W,PDFlib+PDI 9.0.7p3 (C++/Win32)
paper-0002,37361151,PMC10287979,10.3389/fpubh.2023.1116682,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model,"Kiwuwa-Muyingo S, Todd J, Bhattacharjee T, Taylor A, Greenfield J.",Kiwuwa-Muyingo S,Front Public Health,2023,2023/06/26,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.frontiersin.org/articles/10.3389/fpubh.2023.1116682/pdf,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3389_fpubh.2023.1116682__19004f67d573.pdf,2367814,c4acec45adaca0d397e4271fb5412b7220578894ae23a498d15a08a69e8ea557,13,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model,Sylvia Kiwuwa-Muyingo,"Kiwuwa-Muyingo S, Todd J, Bhattacharjee T, Taylor A and Greenfield J (2023) Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model. Front. Public Health 11:1116682. doi: 10.3389/fpubh.2023.1116682",data sharing; common data models; COVID-19; pandemic response; data standards,LaTeX with hyperref package + hypdvips,dvips + MiKTeX GPL Ghostscript  9.0
paper-0003,36233137,PMC9569469,10.3390/ijms231911834,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review,"Ahmadi N, Peng Y, Wolfien M, Zoch M, Sedlmayr M.",Ahmadi N,Int J Mol Sci,2022,2022/10/14,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.mdpi.com/1422-0067/23/19/11834/pdf?version=1665383694,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3390_ijms231911834__e12cf806221e.pdf,3180033,d073a05605848909b8263e2fc747812112a8681a9b18b8055efc902fbfa9d476,11,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review,"Najia Ahmadi, Yuan Peng, Markus Wolfien, Michéle Zoch and Martin Sedlmayr","The current generation of sequencing technologies has led to significant advances in identifying novel disease-associated mutations and generated large amounts of data in a high-throughput manner. Such data in conjunction with clinical routine data are proven to be highly useful in deriving population-level and patient-level predictions, especially in the field of cancer precision medicine. However, data harmonization across multiple national and international clinical sites is an essential step for the assessment of events and outcomes associated with patients, which is currently not adequately addressed. The Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) is an internationally established research data repository introduced by the Observational Health Data Science and Informatics (OHDSI) community to overcome this issue. To address the needs of cancer research, the genomic vocabulary extension was introduced in 2020 to support the standardization of subsequent data analysis. In this review, we evaluate the current potential of the OMOP CDM to be applicable in cancer prediction and how comprehensively the genomic vocabulary extension of the OMOP can serve current needs of AI-based predictions. For this, we systematically screened the literature for articles that use the OMOP CDM in predictive analyses in cancer and investigated the underlying predictive models/tools. Interestingly, we found 248 articles, of which most use the OMOP for harmonizing their data, but only 5 make use of predictive algorithms on OMOP-based data and fulfill our criteria. The studies present multicentric investigations, in which the OMOP played an essential role in discovering and optimizing machine learning (ML)-based models. Ultimately, the use of the OMOP CDM leads to standardized data-driven studies for multiple clinical sites and enables a more solid basis utilizing, e.g., ML models that can be reused and combined in early prediction, diagnosis, and improvement of personalized cancer care and biomarker discovery.",OHDSI; OMOP CDM; EHR; PLP; prediction; machine learning,LaTeX with hyperref,pdfTeX-1.40.21
paper-0006,41192935,PMC12587949,10.1136/bmjdrc-2025-005424,Semaglutide and diabetic retinopathy: an OHDSI network study,"Cai CX, Nishimura A, Baxter S, Goetz K, Hribar M, Toy B, Barkmeier A, Wang S, Swaminathan S, Flowers A, Brown E, Xu B, Chen J, Chen A, Leng T, Boland M, Alshammari T, Bu F, Falconer T, Martin B, Westlund E, Mathioudakis N, Zhang L, Fan R, Wilcox A, Lai A, Stocking JC, Xie Y, Lee LH, Dorr D, Humes I, McCoy D, Adibuzzaman M, Areaux R Jr, Brash J, Weiskopf N, Morgan-Cooper H, Desai P, Tran D, Rustam Z, Zhu G, Swerdel J, Sena A, Nagy P, Suchard M, Schuemie M, Hripcsak G, Ryan P.",Cai CX,BMJ Open Diabetes Res Care,2025,2025/11/05,csv-OHDSI-set.csv,1,yes,https://drc.bmj.com/content/13/6/e005424.full.pdf,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1136_bmjdrc-2025-005424__5aeeb076f8bf.pdf,414383,a4a2ab84f9a30ad382ccdcef8b928740b4f7f0b7c8d5a671eb5304046b2b2385,9,,,,,Adobe InDesign 15.1 (Windows),Adobe PDF Library 15.0
paper-0007,38408983,PMC10895818,10.1186/s12911-024-02458-7,Conceptual design of a generic data harmonization process for OMOP common data model,"Henke E, Zoch M, Peng Y, Reinecke I, Sedlmayr M, Bathelt F.",Henke E,BMC Med Inform Decis Mak,2024,2024/02/26,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02458-7,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1186_s12911-024-02458-7__eeaee2cea0db.pdf,3418258,f4557d661b81b0c05ec8a7fd0f7d3b570c01f0c312224fb75e4062e4c8c10507,13,,,,,Adobe InDesign 18.3 (Windows),Adobe PDF Library 17.0; modified using iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)
paper-0008,38818399,PMC11137233,10.3389/fmed.2024.1378866,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation,"Wirth FN, Abu Attieh H, Prasser F.",Wirth FN,Front Med (Lausanne),2024,2024/05/31,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://public-pages-files-2025.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1378866/pdf,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3389_fmed.2024.1378866__a3215dbffe5d.pdf,1100311,a91c01e6239956b8e9446f3cfcfeba5012e9f458c2429d28e331084e39346f7a,7,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation,﻿Felix N.﻿ ﻿Wirth﻿,"﻿﻿Introduction﻿﻿: ﻿﻿The open-source software offered by the Observational Health Data Science and Informatics (OHDSI) collective, including the OMOP-CDM, serves as a major backbone for many real-world evidence networks and distributed health data analytics platforms.","﻿﻿health data analytics﻿, ﻿﻿﻿real-world evidence﻿, ﻿﻿﻿observational health data science﻿, ﻿﻿﻿regulatory compliance﻿, ﻿﻿﻿data protection﻿",Adobe InDesign 14.0 (Windows),Adobe PDF Library 15.0
paper-0009,29365340,PMC5801887,10.1055/s-0037-1617452,Towards Implementation of OMOP in a German University Hospital Consortium,"Maier C, Lang L, Storf H, Vormstein P, Bieber R, Bernarding J, Herrmann T, Haverkamp C, Horki P, Laufer J, Berger F, Höning G, Fritsch HW, Schüttler J, Ganslandt T, Prokosch HU, Sedlmayr M.",Maier C,Appl Clin Inform,2018,2018/01/25,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0037-1617452.pdf,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1055_s-0037-1617452__b053e4bb8bb3.pdf,223400,569ef11a17b19384c01e9b0465704c45efba1364daf4f9ad721534487c5fb47b,8,,,,,Arbortext Advanced Print Publisher 11.0.2924/W Unicode,Acrobat Distiller 7.0 (Windows); modified using iText 2.1.7 by 1T3XT
paper-0011,38347885,PMC10859396,10.3389/fdgth.2024.1329630,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools,"Bhattacharjee T, Kiwuwa-Muyingo S, Kanjala C, Maoyi ML, Amadi D, Ochola M, Kadengye D, Gregory A, Kiragga A, Taylor A, Greenfield J, Slaymaker E, Todd J; INSPIRE Network.",Bhattacharjee T,Front Digit Health,2024,2024/02/13,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.frontiersin.org/articles/10.3389/fdgth.2024.1329630/pdf?isPublishedV2=False,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3389_fdgth.2024.1329630__ab0e35607ac4.pdf,12880066,284c1b5ec49d45f051211b8e8a957fa98718a2dc4b81375c0e9e44040ec0dff8,19,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools,"Tathagata Bhattacharjee, Sylvia Kiwuwa-Muyingo, Chifundo Kanjala, Molulaqhooa L. Maoyi, David Amadi, Michael Ochola, Damazo Kadengye, Arofan Gregory, Agnes Kiragga, Amelia Taylor, Jay Greenfield, Emma Slaymaker, Jim Todd, INSPIRE Network",,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
paper-0012,33882595,PMC8416226,10.1055/s-0041-1726481,Drawing Reproducible Conclusions from Observational Clinical Data with OHDSI,"Hripcsak G, Schuemie MJ, Madigan D, Ryan PB, Suchard MA.",Hripcsak G,Yearb Med Inform,2021,2021/04/21,csv-OHDSI-set.csv,1,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0041-1726481.pdf,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1055_s-0041-1726481__762b9a618410.pdf,686040,a3828ed0673d135460048c186bb71a388808a5c04d54d9afc324104f5366b314,7,,,,,Adobe InDesign CS6 (Windows),Adobe PDF Library 10.0.1; modified using iText® 5.5.13 ©2000-2018 iText Group NV (AGPL-version)
paper-0014,38635655,PMC11025850,10.1371/journal.pone.0301557,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset,"Ward R, Hallinan CM, Ormiston-Smith D, Chidgey C, Boyle D.",Ward R,PLoS One,2024,2024/04/18,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0301557&type=printable,existing_file,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1371_journal.pone.0301557__da2d23ba2c68.pdf,819289,c413075138dc04fd5caa848e31da12f0c9df38531b0af0950c7d47e414a997b3,13,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset,"Roger Ward, Christine Mary Hallinan, David Ormiston-Smith, Christine Chidgey, Dougie Boyle",,,PTC Arbortext Layout Developer 12.1.6180/W-x64,PDFlib+PDI 9.3.1p2 (C++/Win64)
