Group ID,Source File,Source Row Number,PMID,PMCID,DOI,Title
paper-0001,csv-OHDSI-set.csv,2,38175665,PMC10873827,10.1093/jamia/ocad247,OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization
paper-0001,csv-ohdsiomop-set.csv,4,38175665,PMC10873827,10.1093/jamia/ocad247,OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization
paper-0001,csv-omop-set.csv,146,38175665,PMC10873827,10.1093/jamia/ocad247,OHDSI Standardized Vocabularies-a large-scale centralized reference ontology for international data harmonization
paper-0002,csv-OHDSI-set.csv,12,37361151,PMC10287979,10.3389/fpubh.2023.1116682,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model
paper-0002,csv-ohdsiomop-set.csv,2,37361151,PMC10287979,10.3389/fpubh.2023.1116682,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model
paper-0002,csv-omop-set.csv,54,37361151,PMC10287979,10.3389/fpubh.2023.1116682,Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model
paper-0003,csv-OHDSI-set.csv,35,36233137,PMC9569469,10.3390/ijms231911834,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review
paper-0003,csv-ohdsiomop-set.csv,8,36233137,PMC9569469,10.3390/ijms231911834,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review
paper-0003,csv-omop-set.csv,2,36233137,PMC9569469,10.3390/ijms231911834,OMOP CDM Can Facilitate Data-Driven Studies for Cancer Prediction: A Systematic Review
paper-0005,csv-OHDSI-set.csv,16,30306935,PMC7847179,,Biomedical Informatics Investigator
paper-0005,csv-ohdsiomop-set.csv,3,30306935,PMC7847179,,Biomedical Informatics Investigator
paper-0005,csv-omop-set.csv,50,30306935,PMC7847179,,Biomedical Informatics Investigator
paper-0007,csv-OHDSI-set.csv,39,38408983,PMC10895818,10.1186/s12911-024-02458-7,Conceptual design of a generic data harmonization process for OMOP common data model
paper-0007,csv-ohdsiomop-set.csv,7,38408983,PMC10895818,10.1186/s12911-024-02458-7,Conceptual design of a generic data harmonization process for OMOP common data model
paper-0007,csv-omop-set.csv,4,38408983,PMC10895818,10.1186/s12911-024-02458-7,Conceptual design of a generic data harmonization process for OMOP common data model
paper-0008,csv-OHDSI-set.csv,5,38818399,PMC11137233,10.3389/fmed.2024.1378866,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation
paper-0008,csv-ohdsiomop-set.csv,9,38818399,PMC11137233,10.3389/fmed.2024.1378866,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation
paper-0008,csv-omop-set.csv,315,38818399,PMC11137233,10.3389/fmed.2024.1378866,OHDSI-compliance: a set of document templates facilitating the implementation and operation of a software stack for real-world evidence generation
paper-0009,csv-OHDSI-set.csv,62,29365340,PMC5801887,10.1055/s-0037-1617452,Towards Implementation of OMOP in a German University Hospital Consortium
paper-0009,csv-ohdsiomop-set.csv,5,29365340,PMC5801887,10.1055/s-0037-1617452,Towards Implementation of OMOP in a German University Hospital Consortium
paper-0009,csv-omop-set.csv,30,29365340,PMC5801887,10.1055/s-0037-1617452,Towards Implementation of OMOP in a German University Hospital Consortium
paper-0011,csv-OHDSI-set.csv,7,38347885,PMC10859396,10.3389/fdgth.2024.1329630,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools
paper-0011,csv-ohdsiomop-set.csv,6,38347885,PMC10859396,10.3389/fdgth.2024.1329630,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools
paper-0011,csv-omop-set.csv,135,38347885,PMC10859396,10.3389/fdgth.2024.1329630,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools
paper-0014,csv-OHDSI-set.csv,124,38635655,PMC11025850,10.1371/journal.pone.0301557,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset
paper-0014,csv-ohdsiomop-set.csv,14,38635655,PMC11025850,10.1371/journal.pone.0301557,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset
paper-0014,csv-omop-set.csv,9,38635655,PMC11025850,10.1371/journal.pone.0301557,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset
paper-0015,csv-OHDSI-set.csv,10,36935011,PMC10428170,10.1016/j.jbi.2023.104343,Representing and utilizing clinical textual data for real world studies: An OHDSI approach
paper-0015,csv-ohdsiomop-set.csv,12,36935011,PMC10428170,10.1016/j.jbi.2023.104343,Representing and utilizing clinical textual data for real world studies: An OHDSI approach
paper-0015,csv-omop-set.csv,139,36935011,PMC10428170,10.1016/j.jbi.2023.104343,Representing and utilizing clinical textual data for real world studies: An OHDSI approach
paper-0016,csv-OHDSI-set.csv,57,38046363,PMC10688258,10.1016/j.imu.2023.101407,Conversion of CPRD AURUM Data into the OMOP Common Data Model
paper-0016,csv-ohdsiomop-set.csv,10,38046363,PMC10688258,10.1016/j.imu.2023.101407,Conversion of CPRD AURUM Data into the OMOP Common Data Model
paper-0016,csv-omop-set.csv,18,38046363,PMC10688258,10.1016/j.imu.2023.101407,Conversion of CPRD AURUM Data into the OMOP Common Data Model
paper-0018,csv-OHDSI-set.csv,94,36395615,,10.1016/j.ijmedinf.2022.104925,An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM
paper-0018,csv-ohdsiomop-set.csv,11,36395615,,10.1016/j.ijmedinf.2022.104925,An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM
paper-0018,csv-omop-set.csv,35,36395615,,10.1016/j.ijmedinf.2022.104925,An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM
paper-0019,csv-OHDSI-set.csv,13,38412331,PMC11031239,10.1093/jamia/ocae028,Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network
paper-0019,csv-ohdsiomop-set.csv,15,38412331,PMC11031239,10.1093/jamia/ocae028,Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network
paper-0019,csv-omop-set.csv,201,38412331,PMC11031239,10.1093/jamia/ocae028,Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network
paper-0020,csv-OHDSI-set.csv,30,37034358,PMC10072853,10.1016/j.eclinm.2023.101932,Contextualising adverse events of special interest to characterise the baseline incidence rates in 24 million patients with COVID-19 across 26 databases: a multinational retrospective cohort study
paper-0020,csv-ohdsiomop-set.csv,13,37034358,PMC10072853,10.1016/j.eclinm.2023.101932,Contextualising adverse events of special interest to characterise the baseline incidence rates in 24 million patients with COVID-19 across 26 databases: a multinational retrospective cohort study
paper-0020,csv-omop-set.csv,104,37034358,PMC10072853,10.1016/j.eclinm.2023.101932,Contextualising adverse events of special interest to characterise the baseline incidence rates in 24 million patients with COVID-19 across 26 databases: a multinational retrospective cohort study
paper-0023,csv-OHDSI-set.csv,79,39228725,PMC11370549,10.1101/2024.08.23.24311950,Adoption of the OMOP CDM for Cancer Research using Real-world Data: Current Status and Opportunities
paper-0023,csv-ohdsiomop-set.csv,19,39228725,PMC11370549,10.1101/2024.08.23.24311950,Adoption of the OMOP CDM for Cancer Research using Real-world Data: Current Status and Opportunities
paper-0023,csv-omop-set.csv,15,39228725,PMC11370549,10.1101/2024.08.23.24311950,Adoption of the OMOP CDM for Cancer Research using Real-world Data: Current Status and Opportunities
paper-0024,csv-OHDSI-set.csv,104,39140273,PMC11337138,10.2196/49542,Transforming Primary Care Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study
paper-0024,csv-ohdsiomop-set.csv,16,39140273,PMC11337138,10.2196/49542,Transforming Primary Care Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study
paper-0024,csv-omop-set.csv,187,39140273,PMC11337138,10.2196/49542,Transforming Primary Care Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study
paper-0026,csv-OHDSI-set.csv,37,34714250,PMC8590192,10.2196/29259,Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study
paper-0026,csv-ohdsiomop-set.csv,17,34714250,PMC8590192,10.2196/29259,Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study
paper-0026,csv-omop-set.csv,214,34714250,PMC8590192,10.2196/29259,Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study
paper-0027,csv-OHDSI-set.csv,18,32477694,PMC7233056,,Integrating Electronic Health Record Data into the ADEpedia-on-OHDSI Platform for Improved Signal Detection: A Case Study of Immune-related Adverse Events
