vocab	source_code	reason
ICD8	$!$	non-code pattern
ICD8	0	no ICD-8 bridge for head=0
ICD8	00[3]	no ICD-8 bridge for head=00
ICD8	00[5]	no ICD-8 bridge for head=00
ICD8	00[6]	no ICD-8 bridge for head=00
ICD8	00[7]	no ICD-8 bridge for head=00
ICD8	00[9]	no ICD-8 bridge for head=00
ICD8	0[1]	non-code pattern
ICD8	01	no ICD-8 bridge for head=01
ICD8	01[3]	no ICD-8 bridge for head=01
ICD8	01[8]	no ICD-8 bridge for head=01
ICD8	01[9]	no ICD-8 bridge for head=01
ICD8	02[0]	no ICD-8 bridge for head=02
ICD8	02[1]	no ICD-8 bridge for head=02
ICD8	02[2]	no ICD-8 bridge for head=02
ICD8	02[3]	no ICD-8 bridge for head=02
ICD8	02[6]	no ICD-8 bridge for head=02
ICD8	02[7]	no ICD-8 bridge for head=02
ICD8	03[0]	no ICD-8 bridge for head=03
ICD8	03[1]	no ICD-8 bridge for head=03
ICD8	03[2]	no ICD-8 bridge for head=03
ICD8	03[3]	no ICD-8 bridge for head=03
ICD8	03[4]	no ICD-8 bridge for head=03
ICD8	03[5]	no ICD-8 bridge for head=03
ICD8	03[6]	no ICD-8 bridge for head=03
ICD8	03[7]	no ICD-8 bridge for head=03
ICD8	03[8]	no ICD-8 bridge for head=03
ICD8	03[9]	no ICD-8 bridge for head=03
ICD8	04[4]	no ICD-8 bridge for head=04
ICD8	04[5-]	no ICD-8 bridge for head=04
ICD8	04[5]	no ICD-8 bridge for head=04
ICD8	04[6]	no ICD-8 bridge for head=04
ICD8	05[0]	no ICD-8 bridge for head=05
ICD8	05[2]	no ICD-8 bridge for head=05
ICD8	05[3]	no ICD-8 bridge for head=05
ICD8	05[4]	no ICD-8 bridge for head=05
ICD8	05[5]	no ICD-8 bridge for head=05
ICD8	05[6]	no ICD-8 bridge for head=05
ICD8	06[1	non-code pattern
ICD8	06[1]	no ICD-8 bridge for head=06
ICD8	06[2]	no ICD-8 bridge for head=06
ICD8	06[3]	no ICD-8 bridge for head=06
ICD8	06[4]	no ICD-8 bridge for head=06
ICD8	06[7]	no ICD-8 bridge for head=06
ICD8	067	no ICD-8 bridge for head=067
ICD8	07[1]	no ICD-8 bridge for head=07
ICD8	07[2]	no ICD-8 bridge for head=07
ICD8	07[5]	no ICD-8 bridge for head=07
ICD8	07[6	non-code pattern
ICD8	07[8]	no ICD-8 bridge for head=07
ICD8	08[0]	no ICD-8 bridge for head=08
ICD8	08[1]	no ICD-8 bridge for head=08
ICD8	08[2]	no ICD-8 bridge for head=08
ICD8	08[4]	no ICD-8 bridge for head=08
ICD8	08[5]	no ICD-8 bridge for head=08
ICD8	08[6]	no ICD-8 bridge for head=08
ICD8	08[7]	no ICD-8 bridge for head=08
ICD8	08[8]	no ICD-8 bridge for head=08
ICD8	089	no ICD-8 bridge for head=089
ICD8	09[0]	no ICD-8 bridge for head=09
ICD8	09[1]	no ICD-8 bridge for head=09
ICD8	09[8]	no ICD-8 bridge for head=09
ICD8	09[9]	no ICD-8 bridge for head=09
ICD8	10	no ICD-8 bridge for head=10
ICD8	10[4]	no ICD-8 bridge for head=10
ICD8	104	no ICD-8 bridge for head=104
ICD8	1040	no ICD-8 bridge for head=104
ICD8	11	no ICD-8 bridge for head=11
ICD8	12	no ICD-8 bridge for head=12
ICD8	13	no ICD-8 bridge for head=13
ICD8	14	no ICD-8 bridge for head=14
ICD8	15	no ICD-8 bridge for head=15
ICD8	16	no ICD-8 bridge for head=16
ICD8	17	no ICD-8 bridge for head=17
ICD8	18	no ICD-8 bridge for head=18
