# source: Mechanical strip of FinnGen ICD-10-FI patterns → standard ICD-10-CM ancestor → Athena Maps-to SNOMED
# target_vocab: SNOMED (Athena 5.4 snapshot — live vocab.concept, verified 2026-04-17)
# license: Derived work (FinnGen patterns are facts; Athena mappings CC-BY-4.0)
# curator: Phase 13-04 executor (Parthenon GSD agent)
source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason,provenance_tag
A040,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A043,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A045,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A046,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A047,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A048,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A049,0,ICD10_FIN,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A310,0,ICD10_FIN,Infection due to other mycobacteria,440631,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A403,0,ICD10_FIN,Streptococcal sepsis,40489908,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A413,0,ICD10_FIN,Other sepsis,132797,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A6910,0,ICD10_FIN,Other spirochetal infections,433967,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
A692,0,ICD10_FIN,Other spirochetal infections,433967,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
B007,0,ICD10_FIN,Herpesviral [herpes simplex] infections,444429,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
B012,0,ICD10_FIN,Varicella [chickenpox],434272,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
B052,0,ICD10_FIN,Measles,4030555,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
B206,0,ICD10_FIN,Human immunodeficiency virus [HIV] disease,439727,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
