# source: FINNGEN/phenotype-matching ICD-8 → ICD-10 bridge table (MIT) + Athena ICD-10-CM → SNOMED Maps-to
# target_vocab: SNOMED (Athena 5.4 snapshot — live vocab.concept, verified 2026-04-17)
# license: MIT (FinnGen) + CC-BY-4.0 (Athena)
# curator: Phase 13-04 executor (Parthenon GSD agent)
source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason,provenance_tag
000,0,ICD8,Cholera,198677,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
00001,0,ICD8,Cholera,198677,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
00010,0,ICD8,Cholera,198677,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
00097,0,ICD8,Cholera,198677,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
00099,0,ICD8,Cholera,198677,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
001,0,ICD8,Typhoid and paratyphoid fevers,133685,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
002,0,ICD8,Other salmonella infections,133685,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
003,0,ICD8,Shigellosis,201780,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
004,0,ICD8,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
004[0],0,ICD8,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0040,0,ICD8,Other bacterial intestinal infections,193402,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
005,0,ICD8,"Other bacterial foodborne intoxications, not elsewhere classified",441500,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
006,0,ICD8,Amebiasis,438959,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
007,0,ICD8,Other protozoal intestinal diseases,196325,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
008,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0080,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0081,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0082,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0083,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0088,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
0089,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
009,0,ICD8,"Infectious gastroenteritis and colitis, unspecified",37396146,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
010,0,ICD8,Respiratory tuberculosis,45771090,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
011,0,ICD8,Respiratory tuberculosis,45771090,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
012,0,ICD8,Respiratory tuberculosis,45771090,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
013,0,ICD8,Tuberculosis of nervous system,374267,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
014,0,ICD8,Tuberculosis of other organs,434557,SNOMED,1970-01-01,2099-12-31,,finngen-phenotype-matching-icd8-bridge
