# source: Nordic NCSP chapter-letter → SNOMED procedure-system-root mapping (clinical SME)
# target_vocab: SNOMED (Athena 5.4 snapshot — live vocab.concept, verified 2026-04-17)
# license: Public domain (NOMESCO chapter structure) + CC-BY-4.0 (SNOMED via Athena)
# curator: Phase 13-04 executor (Parthenon GSD agent)
source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason,provenance_tag
^AAC0,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
AAC0,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^AAC1,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
AAC1,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^AAC9,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
AAC9,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^AAL0,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
AAL0,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^ABC07,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
ABC07,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^ABC16,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
ABC16,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^ABC26,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
ABC26,0,NOMESCO,Evaluation procedure,4297090,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
^BAA60,0,NOMESCO,Procedure on endocrine system,4040395,SNOMED,1970-01-01,2099-12-31,,sme-sphp-2026-04-17
